Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
18:04:40.650,-50.00,50.00,-425.02,251.23,-56.84,2.62,-1319.82
18:05:30.093,50.00,50.00,119.86,52.65,-52.55,-2.50,-1246.28
18:05:44.994,50.00,25.83,271.83,25.83,49.12,-12.74,-1292.14
18:05:59.371,18.92,50.00,18.92,108.45,-147.67,-26.22,-2172.85
18:06:15.272,-50.00,-4.27,-218.24,-4.27,-9.77,6.90,-1047.24
18:06:17.927,-50.00,11.28,-92.25,11.28,63.20,11.40,-1267.17
18:06:24.527,-50.00,-23.60,-263.50,-23.60,-9.52,10.84,-1120.92
18:06:57.638,-27.22,50.00,-27.22,122.63,-0.41,0.81,-1588.42
18:07:20.517,50.00,50.00,262.97,183.30,7.03,12.97,-1269.10
18:07:27.077,50.00,50.00,171.26,122.77,-50.73,-4.36,-1406.17
18:07:35.755,-50.00,50.00,-310.90,199.83,61.95,-17.17,-1545.45
18:07:37.371,-50.00,50.00,-276.80,91.73,53.77,-45.34,-1519.03
18:07:51.563,-50.00,-50.00,-104.14,-179.75,20.78,-8.23,-1504.80
18:07:55.181,50.00,-1.74,145.44,-1.74,-77.89,-40.55,-1531.42
18:07:59.353,-50.00,-50.00,-58.49,-89.01,-9.97,-0.82,-1457.28
18:08:02.068,-50.00,-50.00,-59.40,-75.05,5.01,2.04,-1449.80
18:08:10.502,-23.85,-50.00,-23.85,-53.43,15.67,10.16,-1159.70
18:08:14.140,-50.00,50.00,-104.91,69.93,-3.63,-8.71,-1365.66
18:08:22.924,-20.93,-50.00,-20.93,-171.32,26.91,-0.54,-1430.91
18:08:24.026,-12.27,-50.00,-12.27,-99.64,20.01,9.02,-1444.30
18:08:27.588,-1.47,-50.00,-1.47,-209.02,3.84,8.32,-1513.53
18:08:37.685,50.00,50.00,212.35,108.59,4.72,-13.42,-1288.52
18:08:45.556,-50.00,50.00,-381.65,187.20,-82.28,-13.29,-1412.91
18:09:00.543,-50.00,50.00,-81.98,97.27,-16.88,-5.33,-1172.74
18:09:12.006,-33.14,50.00,-33.14,157.56,-43.25,6.07,-1243.61
18:09:24.481,-43.20,50.00,-43.20,152.46,-16.15,13.21,-1174.16
18:17:12.819,50.00,-50.00,58.76,-73.93,25.59,-16.96,-1338.11
18:17:25.996,50.00,-50.00,119.42,-122.59,16.89,1.05,-1487.39
18:17:44.017,50.00,13.82,64.07,13.82,57.60,-20.92,-1857.29
